Id,Regional Unit,Population
202,Π.Ε. Θεσσαλονίκης,1.110.312
905,Π.Ε. Κεντρικού Τομέα Αθηνών,1.029.520
902,Π.Ε. Βορείου Τομέα Αθηνών,591.680
907,Π.Ε. Νοτίου Τομέα Αθηνών,529.826
901,Π.Ε. Ανατολικής Αττικής,502.348
904,Π.Ε. Δυτικού Τομέα Αθηνών,489.675
908,Π.Ε. Πειραιώς,448.997
702,Π.Ε. Αχαΐας,310.298
1301,Π.Ε. Ηρακλείου,305.490
502,Π.Ε. Λάρισας,284.325
802,Π.Ε. Εύβοιας,210.815
701,Π. Ε. Αιτωλοακαρνανίας,210.802
503,Π.Ε. Μαγνησίας,190.010
206,Π.Ε. Σερρών,176.430
403,Π.Ε. Ιωαννίνων,167.901
903,Π.Ε. Δυτικής Αττικής,160.927
1005,Π.Ε. Μεσσηνίας,159.954
703,Π.Ε. Ηλείας,159.300
804,Π.Ε. Φθιώτιδας,158.231
1304,Π.Ε. Χανίων,156.585
303,Π.Ε. Κοζάνης,150.196
102,Π.Ε. Έβρου,147.947
1003,Π.Ε. Κορινθίας,145.082
201,Π.Ε. Ημαθίας,140.611
204,Π.Ε. Πέλλας,139.680
505,Π.Ε. Τρικάλων,131.085
205,Π.Ε. Πιερίας,126.698
104,Π.Ε. Καβάλας,124.917
1211,Π.Ε. Ρόδου,119.830
801,Π.Ε. Βοιωτίας,117.920
501,Π.Ε. Καρδίτσας,113.544
106,Π.Ε. Ροδόπης,112.039
105,Π.Ε. Ξάνθης,111.222
207,Π.Ε. Χαλκιδικής,105.908
603,Π.Ε. Κέρκυρας,104.371
101,Π.Ε. Δράμας,98.287
1001,Π.Ε. Αργολίδας,97.044
1004,Π.Ε. Λακωνίας,89.138
1002,Π.Ε. Αρκαδίας,86.685
1102,Π.Ε. Λέσβου,86.436
1303,Π.Ε. Ρεθύμνης,85.609
203,Π.Ε. Κιλκίς,80.419
1302,Π.Ε. Λασιθίου,75.381
906,Π.Ε. Νήσων,74.651
401,Π.Ε. Άρτας,67.877
404,Π.Ε. Πρέβεζας,57.491
1105,Π.Ε. Χίου,52.674
304,Π.Ε. Φλώρινας,51.414
302,Π.Ε. Καστοριάς,50.322
402,Π.Ε. Θεσπρωτίας,43.587
601,Π.Ε. Ζακύνθου,40.759
805,Π.Ε. Φωκίδας,40.343
604,Π.Ε. Κεφαλληνίας,35.801
1206,Π.Ε. Κω,34.396
1104,Π.Ε. Σάμου,32.977
301,Π.Ε. Γρεβενών,31.757
1203,Π.Ε. Καλύμνου,29.452
605,Π.Ε. Λευκάδας,23.693
1212,Π.Ε. Σύρου,21.507
1209,Π.Ε. Νάξου,20.837
803,Π.Ε. Ευρυτανίας,20.081
1202,Π.Ε. Θήρας,18.883
1103,Π.Ε. Λήμνου,17.262
1210,Π.Ε. Πάρου,14.926
504,Π.Ε. Σποράδων,13.798
103,Π.Ε. Θάσου,13.770
1208,Π.Ε. Μυκόνου,10.134
1207,Π.Ε. Μήλου,9.932
1101,Π.Ε. Ικαρίας,9.882
1201,Π.Ε. Άνδρου,9.221
1213,Π.Ε. Τήνου,8.636
1204,Π.Ε. Καρπάθου-Ηρωικής Νήσου Κάσου,7.310
1205,Π.Ε. Κέας-Κύθνου,3.911
602,Π.Ε. Ιθάκης,3.231
